"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Document Type","Publication Stage","Open Access","Source","EID"
"Cunningham F.G.; Twickler D.M.","Cunningham, F. Gary (7102227105); Twickler, Diane M. (7003644478)","7102227105; 7003644478","Neurocysticercosis Complicating Pregnancy","2022","Obstetrics and Gynecology","140","2","","220","225","5","0","10.1097/AOG.0000000000004854","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134553594&doi=10.1097%2fAOG.0000000000004854&partnerID=40&md5=fc985f6707c7f80ee5cf72bd5fd8ab85","OBJECTIVE:Infection with the pork tapeworm can result in neurocysticercosis caused by infestation of central nervous system tissues by the parasite cysts. Parenchymal brain infection can cause symptoms from mass effect that include headache, seizures, confusion, and even coma. Our objective was to describe the clinical course of neurocysticercosis infections in pregnant women.METHODS:This was a case series that described clinical findings and pregnancy outcomes of women diagnosed with neurocysticercosis from 1994 through 2016 at a single institution. Their medical records were reviewed, cranial computed tomography and magnetic resonance imaging scans were assessed, and the infections were classified according to the criteria of the 2018 Infectious Diseases Society of America and the American Society of Tropical Medicine and Hygiene.RESULTS:Overall, 37 pregnant women with neurocysticercosis were identified. Of the 37 women, 32 were symptomatic, and 16 each had severe headaches or new-onset seizures or other neurologic sequelae. Some of these women had multiple symptoms. Others were diagnosed when neuroimaging was done for a history of neurocysticercosis or evaluation of a preexisting seizure disorder. The most common treatment was with anthelmintics-albendazole, praziquantel, or both-usually given with anticonvulsants and corticosteroids to decrease inflammation. There were eight women in whom invasive neurosurgical procedures were performed, usually for hydrocephaly. Overall, 32 healthy neonates were born at term, and there was one preterm delivery at 34 weeks of gestation. The four pregnancy losses included two molar pregnancies, one anembryonic miscarriage, and a 23-week stillbirth of a pregnancy complicated by preeclampsia with severe features.CONCLUSION:Neurocysticercosis in pregnant women may be asymptomatic or result in headaches, seizures, confusion, nausea and vomiting, altered mental status, or obtundation. Anthelmintic treatment is usually successful, but in some women neurosurgical procedures are necessary to relieve obstructive hydrocephaly. © 2022 Lippincott Williams and Wilkins. All rights reserved.","","Albendazole; Anthelmintics; Female; Headache; Humans; Hydrocephalus; Infant, Newborn; Neurocysticercosis; Praziquantel; Pregnancy; albendazole; anthelmintic agent; anticonvulsive agent; corticosteroid; eosin; hematoxylin; praziquantel; steroid; albendazole; anthelmintic agent; praziquantel; adolescent; adult; Article; blighted ovum; brain calcification; brain tissue; brain ventricle; clinical article; clinical feature; computer assisted tomography; disease classification; disease course; disease severity; epilepsy; female; fluid-attenuated inversion recovery imaging; headache; human; human tissue; hydatidiform mole; hydrocephalus; inflammation; medical history; medical record review; medical society; neurocysticercosis; neurologic disease; neuroprotection; neurosurgery; parenchyma; preeclampsia; pregnancy outcome; pregnant woman; premature labor; seizure; spontaneous abortion; staining; stillbirth; subarachnoid space; T2 weighted imaging; complication; headache; hydrocephalus; neurocysticercosis; newborn; pregnancy","","","Article","Final","","Scopus","2-s2.0-85134553594"
"Singla M.; Prabhakar S.; Modi M.; Medhi B.; Khandelwal N.; Lal V.","Singla, Monika (36615799800); Prabhakar, Sudesh (7101672595); Modi, Manish (14033262200); Medhi, Bikash (6602803991); Khandelwal, Niranjan (7006950739); Lal, Vivek (7004356502)","36615799800; 7101672595; 14033262200; 6602803991; 7006950739; 7004356502","Short-course of prednisolone in solitary cysticercus granuloma: A randomized, double-blind, placebo-controlled trial","2011","Epilepsia","52","10","","1914","1917","3","16","10.1111/j.1528-1167.2011.03184.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053576114&doi=10.1111%2fj.1528-1167.2011.03184.x&partnerID=40&md5=b08a9735aa25e453d3a83d46d34d3b10","Purpose: To determine the effect of administration of a short course of prednisolone on seizure and radiologic outcome in patients with solitary cysticercus granuloma (SCG). Methods: One hundred forty-eight subjects presenting with new-onset seizures (<15 days duration) and with SCG demonstrated on imaging studies were randomly allocated to either treatment with prednisolone (40-60 mg/day for 2 weeks) or placebo in addition to standard antiepileptic drug therapy. The subjects were followed up for seizure recurrence for 9 months. Repeat computed tomography (CT, at 3 months) and magnetic resonance imaging (MRI, at 6 months) to evaluate resolution and calcification of the lesion. Key Findings: There was no difference in the proportion of subjects with seizure recurrence during the follow-up period in the treatment (n = 16, 21.9%) and control (n = 19, 25.33%) groups (p = 0.7). However, generalized seizures occurred in a significantly lesser proportion of subjects in the treatment group (n = 3, 15.79%) in comparison to the control group (n = 12, 60.00%) (p = 0.015). There were no significant differences in the proportion of subjects with complete resolution of the SCG on repeat CT at 3 months [treatment group (27, 46.7%) and control group (23, 39.8%); p = 0.453] and repeat MRI at 6 months [treatment group (28, 46.7%) and control group (21, 38.9%); p = 0.402]. Significance: The administration of a short course of prednisolone does not offer significant improvement in seizure control, although a benefit in terms of reducing the likelihood of generalized seizures is possible. Furthermore, it does not improve the chances of resolution of the SCG on follow-up imaging studies. © 2011 International League Against Epilepsy.","Corticosteroids; Neurocysticercosis; Prednisolone; Seizures; Solitary cysticercus granuloma","Adolescent; Adult; Double-Blind Method; Female; Glucocorticoids; Granuloma; Humans; Male; Middle Aged; Neurocysticercosis; Prednisolone; Seizures; Treatment Outcome; Young Adult; placebo; prednisolone; adolescent; adult; article; clinical article; computer assisted tomography; controlled study; double blind procedure; female; grand mal epilepsy; grand mal seizure; granuloma; human; male; neurocysticercosis; nuclear magnetic resonance imaging; priority journal; randomized controlled trial; recurrent disease; solitary cysticercus granuloma; treatment duration; treatment response","","","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-80053576114"
"Brutto O.H.D.","Brutto, Oscar H. Del (56899136800)","56899136800","Neurocysticercosis","2014","The Neurohospitalist","4","4","","205","212","7","26","10.1177/1941874414533351","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992845468&doi=10.1177%2f1941874414533351&partnerID=40&md5=3831b18026971faeb75b7d1e69f78102","Neurocysticercosis, the most common helminthic infection of the nervous system, is a major cause of acquired epilepsy worldwide. The disease occurs when humans become intermediate hosts of the tapeworm Taenia solium after ingesting its eggs by contagion from an asymptomatic Taenia carrier. Within the nervous system, parasites may locate in brain parenchyma, subarachnoid space, ventricular system, or spinal cord, causing several pathological changes that are responsible for the clinical pleomorphism of the disease. Seizures are the most common clinical manifestation, but a sizable proportion of patients develop focal deficits, intracranial hypertension, or cognitive decline. Preoperative diagnosis of neurocysticercosis is possible after proper integration of data from neuroimaging studies and immunological tests. Cysticidal drugs (albendazole and praziquantel) have changed the prognosis of most patients with neurocysticercosis. The use of these drugs has shown to reduce the parasite load within the central nervous system and to improve the clinical prognosis of the disease in many cases. Future studies should focus on disease eradication through the implementation of control programs against all the interrelated steps in the life cycle of T solium, including human carriers of the adult tapeworm, infected pigs, and eggs in the environment. © 2014, SAGE Publications. All rights reserved.","cysticercosis; neurocysticercosis","","","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84992845468"
"Thang T.D.; Phuc T.Q.; Thanh D.T.; Thieu N.Q.; Tho T.H.; Loi C.B.; Tran-Anh L.","Thang, T.D. (57917960000); Phuc, T.Q. (57225449265); Thanh, D.T. (57917960100); Thieu, N.Q. (57189107502); Tho, T.H. (57215834566); Loi, C.B. (57215487279); Tran-Anh, L. (59158092400)","57917960000; 57225449265; 57917960100; 57189107502; 57215834566; 57215487279; 59158092400","Efficacy and safety of praziquantel in the treatment of neurocysticercosis in Vietnam","2022","Tropical Biomedicine","39","3","","462","466","4","2","10.47665/tb.39.3.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139414757&doi=10.47665%2ftb.39.3.018&partnerID=40&md5=e359ad1e41d1cb636bc55cf5d8ebf64e","Neurocysticercosis (NCC) is a parasitic infection of the nervous system and is responsible for considerable morbidity and mortality. Praziquantel (PZQ) is one of the antiparasitics mostly used in managing NCC, however, there have been only a few studies on the treatment outcome of this drug. The present study aimed to evaluate the efficacy and safety of PZQ in patients with NCC. Sixty patients with typical characteristics of NCC received three 10-day cycles of PZQ and the interruption between these cycles was 10 days. Additional treatment included antiinflammation (steroids), antiepileptics and analgesics. Clinical and imaging studies were done at baseline and six months after therapy to assess the efficacy of treatment. Laboratory evaluation was done before and after each cycle to investigate laboratory safety profiles. By six months after finishing therapy, all patients had clinical improvement and 75% of them were free of symptoms. The rates of complete, partial or no resolution of cysts on brain magnetic resonance imaging were 61.7%, 28.3% and 10% respectively. The efficacy of therapy was not associated with the number of cysts. There was no difference between the levels of aspartate aminotransferase, alanine aminotransferase, urea and creatinine before and after treatment. Conclusion: Praziquantel is effective and safe in the treatment of patients with neurocysticercosis. © Published by Malaysian Society of Parasitology and Tropical Medicine. All rights reserved.","efficacy; Neurocysticercosis; praziquantel; safety","Alanine Transaminase; Albendazole; Anthelmintics; Anticonvulsants; Antiparasitic Agents; Aspartate Aminotransferases; Creatinine; Cysts; Humans; Neurocysticercosis; Praziquantel; Steroids; Urea; Vietnam; alanine aminotransferase; albendazole; anthelmintic agent; anticonvulsive agent; antiparasitic agent; aspartate aminotransferase; creatinine; praziquantel; steroid; urea; complication; cyst; human; neurocysticercosis; parasitology; Viet Nam","","","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85139414757"
"Buque H.; Vaz D.; Lorenzo E.; Tané S.; Sidat M.; Nzwalo H.","Buque, Helena (58492331600); Vaz, Deise (57215324651); Lorenzo, Elder (57219800763); Tané, Suraia (58525510200); Sidat, Mohsin (23668904500); Nzwalo, Hipólito (36057285600)","58492331600; 57215324651; 57219800763; 58525510200; 23668904500; 36057285600","Severe neurocysticercosis in a quaternary hospital from Mozambique: Case series analysis","2023","Clinical Neurology and Neurosurgery","233","","107913","","","","0","10.1016/j.clineuro.2023.107913","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166908602&doi=10.1016%2fj.clineuro.2023.107913&partnerID=40&md5=897650c6109aaec9a88b4b665120ef2e","Background: Neurocysticercosis (NCC) is severe and leading global cause of morbidity and mortality. The disease presents with a variety of clinical presentations from focal to diffuse neurological symptoms. Despite being an endemic country, there are no studies describing the clinico-epidemiological characteristics of NCC in Mozambique. Herein, we describe a consecutive cases series of NCC from the national reference Hospital in Maputo, capital of Mozambique. Methods: Consecutive cases of NCC diagnosed during a 3-year period (January/2020–December/2022) were retrieved from the institutional clinical files and imaging database. Results: Six cases of NCC were identified, with mean age of 43.1 years (range 26–66). Four were males (66.6 %). The median time from the beginning of clinical manifestations to the diagnosis was 6 months (range 3–18 months). All patients presented with severe parenchymal NCC, with seizures (n = 5, 83 %) being the most common manifestation. Other clinical manifestations were dementia (n = 1) and hydrocephalus (n = 1). The imaging showed multiple lesions at different stages, with half (n = 3) of them showing the coexistence of nodular calcified lesions at earlier stages (vesicular, colloidal and granular stages). Patients were treated with anthelminthic drugs, corticosteroids and anticonvulsants and no deaths to report. The 3rd month modified Rankin scale was ≤ 2 in 83 % of patients. Conclusion: In our case series, patients with NCC presented very late, with severe advanced stage disease, with multiple coexistent short and long-term brain lesions. These findings can be explained eventually because of the Maputo Central Hospital being national referral center receiving commonly more severe cases. Studies aiming to clarify the diagnosis pathways/barriers and NCC awareness among medical doctors working at primary and secondary health care level is mandatory to assess the real burden of NCC and implement timely diagnosis and care of patients affected by this neglected disease. © 2023 Elsevier B.V.","Mozambique; Neurocysticercosis; Sub-Saharan Africa; “Diagnosis delay”","albendazole; anthelmintic agent; anticonvulsive agent; carbamazepine; corticosteroid; dexamethasone; phenytoin; praziquantel; prednisolone; adult; aged; Article; clinical article; clinical feature; dementia; epileptic state; female; headache; hospital; human; hydrocephalus; male; middle aged; Mozambique; neurocysticercosis; neurosurgery; nuclear magnetic resonance imaging; Rankin scale; seizure; social status","","","Article","Final","","Scopus","2-s2.0-85166908602"
"Arroyo G.; Bustos J.A.; Lescano A.G.; Gonzales I.; Saavedra H.; Rodriguez S.; Pretell E.J.; Bonato P.S.; Lanchote V.L.; Takayanagui O.M.; Horton J.; Gonzalez A.E.; Gilman R.H.; Garcia H.H.; Tsang V.C.W.; O'Neal S.; Martinez M.; Zimic M.; Verastegui M.; Mayta H.; Castillo Y.; Lopez-Urbina M.T.; Gavidia C.M.; Gomez-Puerta L.A.; Moyano L.M.; Gamboa R.; Vilchez P.; Muro C.; Nash T.; Mahanty S.; Noh J.; Handali S.; Friedland J.","Arroyo, Gianfranco (55328428800); Bustos, Javier A (7003387767); Lescano, Andres G (6602194591); Gonzales, Isidro (36514489400); Saavedra, Herbert (57210277574); Rodriguez, Silvia (7202805066); Pretell, E. Javier (57205704948); Bonato, Pierina S (56247860000); Lanchote, Vera L (7004245288); Takayanagui, Osvaldo M (7003682901); Horton, John (34770565600); Gonzalez, Armando E (7404584673); Gilman, Robert H (57202677769); Garcia, Hector H (7202282335); Tsang, Victor C. W (7005694254); O'Neal, Seth (15726108800); Martinez, Manuel (57210277552); Zimic, Mirko (6506696732); Verastegui, Manuela (7004202872); Mayta, Holger (6505897165); Castillo, Yesenia (36868125600); Lopez-Urbina, Maria T (8143418300); Gavidia, Cesar M (6602494063); Gomez-Puerta, Luis A (25649476700); Moyano, Luz M (24463370100); Gamboa, Ricardo (55485009900); Vilchez, Percy (57192890993); Muro, Claudio (57189040539); Nash, Theodore (7102065705); Mahanty, Siddartha (7006558464); Noh, John (7102906008); Handali, Sukwan (6508249416); Friedland, Jon (7102333663)","55328428800; 7003387767; 6602194591; 36514489400; 57210277574; 7202805066; 57205704948; 56247860000; 7004245288; 7003682901; 34770565600; 7404584673; 57202677769; 7202282335; 7005694254; 15726108800; 57210277552; 6506696732; 7004202872; 6505897165; 36868125600; 8143418300; 6602494063; 25649476700; 24463370100; 55485009900; 57192890993; 57189040539; 7102065705; 7006558464; 7102906008; 6508249416; 7102333663","Albendazole Sulfoxide Plasma Levels and Efficacy of Antiparasitic Treatment in Patients with Parenchymal Neurocysticercosis","2019","Clinical Infectious Diseases","69","11","","1996","2002","6","11","10.1093/cid/ciz085","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075037234&doi=10.1093%2fcid%2fciz085&partnerID=40&md5=77c48c96e954941b0a30b216398bc8ae","Background: The efficacy of albendazole therapy in patients with parenchymal neurocysticercosis (NCC) is suboptimal. Plasma levels of albendazole sulfoxide (ASOX), the active metabolite of albendazole, are highly variable among patients. We hypothesized that high ASOX plasma levels during albendazole therapy may be associated with an increased antiparasitic efficacy. Methods: ASOX plasma levels were measured at treatment day 7 in 118 patients with parenchymal NCC enrolled in a treatment trial. The relationships between increasing ASOX plasma levels with the proportion of cysts resolved and the proportion of patients with complete cyst resolution (evaluated by 6-month brain magnetic resonance) were assessed. Results: There was a trend toward a higher proportion of cysts resolved and a higher proportion of patients cured with increasing quartiles of ASOX plasma levels. In patients with 3 or more brain cysts, the regression analysis adjusted by the concomitant administration of praziquantel (PZQ) showed a 2-fold increase in the proportion of cysts resolved (risk ratio [RR], 1.98; 95% confidence interval [CI], 1.01-3.89; P =. 048) and 2.5-fold increase in the proportion of patients cured (RR, 2.45; 95% CI,. 94-6.36; P =. 067) when ASOX levels in the highest vs the lowest quartile were compared. No association was found in patients with 1-2 brain cysts. Conclusions: We suggest an association between high ASOX plasma levels and increased antiparasitic efficacy in patients with parenchymal NCC. Nonetheless, this association is also influenced by other factors including parasite burden and concomitant administration of PZQ. These findings may serve to individualize and/or adjust therapy schemes to avoid treatment failure. © 2019 The Author(s) 2019. Published by Oxford University Press for the Infectious Diseases Society of America. All rights reserved. For permissions, e-mail: journals.permissions@oup.com.","albendazole; albendazole sulfoxide; neurocysticercosis; praziquantel","Adolescent; Adult; Aged; Albendazole; Anthelmintics; Chromatography, High Pressure Liquid; Female; Humans; Male; Mass Spectrometry; Middle Aged; Neurocysticercosis; Praziquantel; Young Adult; albendazole; albendazole sulfoxide; anthelmintic agent; carbamazepine; phenytoin; praziquantel; albendazole; albendazole sulfoxide; anthelmintic agent; praziquantel; adolescent; adult; aged; antiparasitic therapy; Article; controlled study; disease association; double blind procedure; drug blood level; drug efficacy; female; high performance liquid chromatography; human; major clinical study; male; neurocysticercosis; neuroimaging; nuclear magnetic resonance imaging; parasite load; phase 3 clinical trial; priority journal; treatment response; blood; mass spectrometry; middle aged; neurocysticercosis; young adult","Jessica Del Carpio; National Council for Science, Technology, and Innovation of Peru; US National Institutes of Health; Universidad Peruana Cayetano Heredia; National Institutes of Health, NIH, (NS054805); Fogarty International Center, FIC, (D43TW001140, D43TW007393); National Institute of Neurological Disorders and Stroke, NINDS, (U01NS086968); Universidad Peruana Cayetano Heredia, UPCH; Consejo Nacional de Ciencia, Tecnología e Innovación Tecnológica, CONCYTEC, (EF033-235-2015)","Funding text 1: Financial support. Data analyzed in this study were obtained from the primary study funded by the National Institute of Neurological Disorders and Stroke, US National Institutes of Health (NIH; grants NS054805 and NS086968). G.A. is a doctoral student studying epidemiological research at the Universidad Peruana Cayetano Heredia sponsored by the National Council for Science, Technology, and Innovation of Peru (CONCYTEC/ CIENCIA ACTIVA, scholarship EF033-235-2015) and is supported by training grants D43TW001140 and D43TW007393 awarded by the Fogarty International Center of the NIH.; Funding text 2: The authors thank Jessica Del Carpio, Monica Vera, Karina Fernandez, and the team of clinical coordinators for their enormous effort in the development of the primary study. They also thank all members of the Cysticercosis Working Group in Peru whose suggestions and recommendations contributed to the improvement of the present work. Data analyzed in this study were obtained from the primary study funded by the National Institute of Neurological Disorders and Stroke, US National Institutes of Health (NIH; grants NS054805 and NS086968). G.A. is a doctoral student studying epidemiological research at the Universidad Peruana Cayetano Heredia sponsored by the National Council for Science, Technology, and Innovation of Peru (CONCYTEC/ CIENCIA ACTIVA, scholarship EF033-235-2015) and is supported by training grants D43TW001140 and D43TW007393 awarded by the Fogarty International Center of the NIH.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85075037234"
"Han M.H.; Walker M.; Zunt J.R.","Han, May H. (7402604080); Walker, Melanie (12241866700); Zunt, Joseph R. (6602746216)","7402604080; 12241866700; 6602746216","Neurological infections in the returning international traveler","2006","CONTINUUM Lifelong Learning in Neurology","12","2","","133","158","25","3","10.1212/01.CON.0000290453.95850.ff","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745698066&doi=10.1212%2f01.CON.0000290453.95850.ff&partnerID=40&md5=79a75542dcd8001785108e088f457048","Clinicians may encounter international travelers returning with exotic infections, emerging infectious diseases, or resurgent old-world infections. Many of these infectious diseases can affect the nervous system directly or indirectly. The contemporary neurologist should therefore be cognizant of the clinical manifestations, potential complications, and appropriate management of common travel-related infections. This chapter focuses on five important infections that affect the central nervous system and that may be encountered in returning travelers: Japanese encephalitis, malaria, rabies, dengue, and neurocysticercosis. The clinical manifestations, suggested evaluation, and treatment are discussed for each infection. Copyright © Lippincott Williams & Wilkins.","","acetylsalicylic acid; albendazole; anticonvulsive agent; antimalarial agent; artemisinin derivative; chloroquine; doxycycline; mannitol; mefloquine; niclosamide; paracetamol; praziquantel; quinidine; quinine; rabies immunoglobulin; rabies vaccine; steroid; article; central nervous system infection; chemoprophylaxis; clinical feature; dengue; epidemic encephalitis; fever; human; malaria; neurocysticercosis; neuroimaging; pain; rabies; taeniasis; travel","","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-33745698066"
"Valdes L.F.I.; Humberto F.-S.","Valdes, Lourdes de Fatima Ibanez (58790559800); Humberto, Foyaca-Sibat (14008467600)","58790559800; 14008467600","Ferropanoptosis in Neurocysticercosis: Implications for Novel Therapeutic DrDevelopment-a Comprehensive Review","2024","Journal of Drug and Alcohol Research","13","6","236304","","","","0","10.4303/JDAR/236304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204621162&doi=10.4303%2fJDAR%2f236304&partnerID=40&md5=dd05008498473e504509f8e9d3f5dc00","Background: Ferroptosis (Fp), a newly reported Regulated Cell Death (RCD) associated with iron independence lipid peroxidation (LP), has become a fundamental process involved in the neuropathological basis in the comorbidity of NCC/COVID-19 and PANoptosis represent a group of different RCD and Programmed Cell Death (PCD) as we reported previously. Taenia solium (Ts), the larval form of the pig tapeworm, is the primary cause of the preventable and eradicable zoonotic parasitic disease Cysticercosis (Ct), which is primarily observed in individuals residing in underdeveloped nations. However, because to unregulated migration and globalization, the number of carriers in wealthy nations is steadily rising. In this investigation, we seek to learn more about the pathophysiology of neuropsychiatric symptoms in individuals suffering from Neurocysticercosis (NPNCC). Drug development strategies aimed at targeting ferropanoptosis in NCC are promising. Potential therapeutic approaches include: Iron chelators: Compounds that sequester iron ions, reducing their availability for catalyzing lipid peroxidation and subsequent cell death. Antioxidants: Substances that counteract lipid peroxidation and oxidative stress, thereby protecting neurons from ferroptotic damage. Lipid peroxidation inhibitors: Molecules that inhibit the enzymatic pathways involved in lipid peroxidation, preventing neuronal membrane damage. Combination therapies: Synergistic approaches combining iron chelators with antioxidants or lipid peroxidation inhibitors to maximize neuroprotective effects. Recent advances in understanding ferropanoptosis and its role in NCC highlight the potential for personalized medicine approaches tailored to individual patient profiles and disease stages. Future research should focus on clinical trials to validate the efficacy and safety of these novel therapeutic strategies, ultimately improving outcomes and quality of life for NCC patients globally. Method: Using a comprehensive search strategy, we looked for published medical subject heading (MeSH) terms such as “neurocysticercosis”, “pathophysiology of Fp/NCC”, “immunology of FPANp” OR “dysfunctional mitochondria in FPANp”, “necroptosis/apoptosis/ pyroptosis/autophagia/NCC.” Results: Peer review was conducted on all of the chosen studies, and we were unable to locate any literature discussing the pathophysiology of FPANp in NCC. Remarks and closing thoughts: We postulated that the pathophysiology of FPANp in patients with NCC is influenced by malfunctioning mitochondria, oxidative stress, neuroinflammation, Fp, and PANp. © 2024 Lourdes de Fatima Ibanez Valdes, et al.","Apoptosis; Autophagia; Cytokine storm; Drug development strategies; Dysfunctional mitochondrial; Ferroptosis; Necroptosis; Neurocysticercosis; Neuroinflammation; Oxidative stress; PANoptosis; Programmed cell death; Pyroptosis; Regulated cell death; Therapeutic approaches","caspase 3; caspase 8; ferritin; glutamate dehydrogenase; isocitrate dehydrogenase 2; phospholipid hydroperoxide glutathione peroxidase; protein glutamine gamma glutamyltransferase 2; ubidecarenone; voltage dependent anion channel; amino acid metabolism; apoptosis; Article; autophagy (cellular); citric acid cycle; cytokine storm; disorders of mitochondrial functions; drug development; ferropanoptosis; ferroptosis; human; immunology; lipid metabolism; lipid peroxidation; Medical Subject Headings; necroptosis; nervous system inflammation; neurocysticercosis; neurological complication; outcome assessment; oxidative stress; parasitosis; pathophysiology; peer review; prognosis; pyroptosis; quality control; quality of life; quasi experimental study; randomized controlled trial (topic); regulated cell death; signal transduction","","","Article","Final","","Scopus","2-s2.0-85204621162"
"Garcia H.H.; Nath A.; Del Brutto O.H.","Garcia, Hector H. (7202282335); Nath, Avindra (7102102492); Del Brutto, Oscar H. (56899136800)","7202282335; 7102102492; 56899136800","Parasitic Infections of the Nervous System","2019","Seminars in Neurology","39","3","","358","368","10","12","10.1055/s-0039-1693036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070390834&doi=10.1055%2fs-0039-1693036&partnerID=40&md5=ec52a97e4c2cf3d6f55f73b027976063","Parasitic infections of the central nervous system are much more common than suspected, although most infections are asymptomatic. For example, parasites like the ubiquitous protozoa Toxoplasma gondii or the nematode larvae Toxocara canis infect significant proportions of the human population. Other parasitic infections such as malaria and neurocysticercosis are widespread in developing countries and become major causes of neurological morbidity in these regions as well in immigrants and travelers. This article reviews parasitic pathogens causing neurological morbidity and mortality, including an extensive list of less common parasitic infections of the human nervous system. Copyright © 2019 by Thieme Medical Publishers, Inc.","cysticercosis; malaria; nervous system; parasitic infections; toxocariasis; toxoplasmosis","Antiparasitic Agents; Central Nervous System Parasitic Infections; Humans; Malaria, Cerebral; Neurocysticercosis; Toxoplasmosis, Cerebral; antiparasitic agent; Acanthamoeba; Acanthamoeba; angiostrongyliasis; angiostrongyliasis; Angiostrongylus cantonensis; Angiostrongylus cantonensis; Article; Article; Balamuthia mandrillaris; Balamuthia mandrillaris; central nervous system; central nervous system; cerebral malaria; cerebral malaria; Chagas disease; Chagas disease; coenurosis; coenurosis; echinococcosis; echinococcosis; Echinococcus granulosus; Echinococcus granulosus; Echinococcus multilocularis; Echinococcus multilocularis; Gnathostoma spinigerum; Gnathostoma spinigerum; gnathostomiasis; gnathostomiasis; head nodding syndrome; head nodding syndrome; human; morbidity; morbidity; mortality; mortality; Naegleria fowleri; Naegleria fowleri; neurocysticercosis; neurocysticercosis; neurologic disease; neurologic disease; nodding syndrome; nodding syndrome; paragonimiasis; paragonimiasis; Paragonimus; Paragonimus; Paragonimus mexicanus; Paragonimus mexicanus; Paragonimus skrjabini; Paragonimus skrjabini; Paragonimus westermani; Paragonimus westermani; parasitosis; parasitosis; Plasmodium falciparum; Plasmodium falciparum; priority journal; priority journal; Schistosoma haematobium; Schistosoma haematobium; Schistosoma japonicum; Schistosoma japonicum; Schistosoma mansoni; Schistosoma mansoni; schistosomiasis; schistosomiasis; sparganosis; sparganosis; Spirometra; Spirometra; Strongyloides stercoralis; Strongyloides stercoralis; strongyloidiasis; strongyloidiasis; Taenia multiceps; Taenia multiceps; Taenia solium; Taenia solium; Toxocara canis; Toxocara canis; Toxocara cati; Toxocara cati; toxocariasis; toxocariasis; Toxoplasma gondii; Toxoplasma gondii; toxoplasmosis; toxoplasmosis; Trichinella spiralis; Trichinella spiralis; trichinosis; trichinosis; Trypanosoma brucei; Trypanosoma brucei; Trypanosoma cruzi; Trypanosoma cruzi; trypanosomiasis; trypanosomiasis; central nervous system infection; cerebral malaria; cerebral toxoplasmosis; neurocysticercosis","","","Article","Final","","Scopus","2-s2.0-85070390834"
"Anand P.","Anand, Pria (57225452034)","57225452034","Infectious Myelopathies","2021","Seminars in Neurology","41","3","","280","290","10","2","10.1055/s-0041-1725126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106917154&doi=10.1055%2fs-0041-1725126&partnerID=40&md5=6d3d15aafa1ab44580494bbe6f2187eb","In the setting of both globalization and increasing use of immunosuppressive therapy, infectious myelopathies are an important cause of morbidity worldwide. Clinical spinal cord syndromes related to infection are varied, including transverse myelitis, acute flaccid paralysis related to anterior horn cell involvement, spinal cord compression, chronic spastic paraparesis, and myeloradiculitis. Causative pathogens include viruses, parasites, pyogenic and atypical bacteria, and fungi. The epidemiology, clinical characteristics, diagnosis, and treatment of selected organisms will be discussed in this article. © 2021 SPIE. All rights reserved.","chronic spastic paraparesis; myelopathy; myeloradiculitis","Central Nervous System Viral Diseases; Humans; Myelitis; Myelitis, Transverse; Neuromuscular Diseases; Spinal Cord; Spinal Cord Compression; Spinal Cord Diseases; anterior horn cell; Article; Borrelia burgdorferi; Cytomegalovirus; Enterovirus; Epstein Barr virus; flaccid paralysis; Flavivirus; Herpes simplex virus; Herpesviridae; human; Human immunodeficiency virus; Human T-lymphotropic virus 1; immunosuppressive treatment; infection; morbidity; Mycobacterium tuberculosis; Mycoplasma pneumoniae; Poliomyelitis virus; pyogenic bacterium; radiculitis; Schistosoma; spastic paraplegia; spinal cord compression; spinal cord disease; Taenia solium; transverse myelitis; Treponema pallidum; Varicella zoster virus; West Nile virus; central nervous system infection; myelitis; neuromuscular disease; spinal cord; spinal cord compression","","","Article","Final","","Scopus","2-s2.0-85106917154"
